French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
voici,here is
donner,give
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
main,hand
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
dirait,would say
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
jouer,to play
